city,ibge_id,date,qty_cases,qty_new_cases,cumm_qty_new_cases_14d,category
BOA VISTA,2502151,2020-04-24,365,0,297,prediction
BOA VISTA,1400100,2020-04-25,365,0,295,prediction
BOA VISTA,2502151,2020-04-25,365,0,295,prediction
BOA VISTA,1400100,2020-04-26,365,0,291,prediction
BOA VISTA,2502151,2020-04-26,365,0,291,prediction
BOA VISTA,1400100,2020-04-27,365,0,261,prediction
BOA VISTA,2502151,2020-04-27,365,0,261,prediction
BOA VISTA,1400100,2020-04-28,365,0,260,prediction
BOA VISTA,2502151,2020-04-28,365,0,260,prediction
BOA VISTA,1400100,2020-04-29,365,0,234,prediction
BOA VISTA,2502151,2020-04-29,365,0,234,prediction
BOA VISTA,1400100,2020-04-30,365,0,218,prediction
BOA VISTA,2502151,2020-04-30,365,0,218,prediction
BOA VISTA,1400100,2020-05-01,365,0,182,prediction
BOA VISTA,2502151,2020-05-01,365,0,182,prediction
BOA VISTA,1400100,2020-05-02,365,0,165,prediction
